GeneID,Gene Symbol,pvalue,log2FoldChange
102723401,LOC102723401,4.10E-07,-1.260974314
3117,HLA-DQA1,0.000387843,-1.260840216
100144604,LINC00930,0.000122848,-1.257712116
54407,SLC38A2,3.09E-15,-1.257348216
6540,SLC6A13,9.78E-09,-1.256748827
837,CASP4,8.90E-08,-1.254947226
5788,PTPRC,1.05E-05,-1.252497304
126695,KDF1,1.29E-05,-1.251454004
306,ANXA3,1.14E-13,-1.247540836
440982,LOC440982,2.64E-05,-1.245718543
340990,OTOG,0.000813823,-1.24565527
100996609,LINC01436,4.24E-07,-1.242130486
23764,MAFF,1.09E-07,-1.240002481
54502,RBM47,2.90E-05,-1.239884768
8793,TNFRSF10D,1.41E-05,-1.235974141
1052,CEBPD,8.16E-07,-1.235894694
101929777,LOC101929777,0.003855741,-1.235220429
2735,GLI1,4.95E-09,-1.232636156
5549,PRELP,1.02E-06,-1.232259582
137835,TMEM71,3.43E-09,-1.23159941
25816,TNFAIP8,4.77E-06,-1.229741356
145820,LINC00924,2.42E-05,-1.227119789
22797,TFEC,7.82E-07,-1.226176169
7545,ZIC1,1.68E-07,-1.225336235
3291,HSD11B2,0.000115185,-1.224523757
2669,GEM,1.52E-06,-1.22353269
56265,CPXM1,0.000193968,-1.222862956
389558,FAM180A,0.000249245,-1.222177925
643733,CASP4LP,1.82E-06,-1.21973129
241,ALOX5AP,0.000197108,-1.217279501
3561,IL2RG,3.66E-10,-1.216679682
107985323,LOC107985323,0.002238074,-1.216275782
57228,SMAGP,2.11E-12,-1.215855866
654,BMP6,3.38E-13,-1.214858902
116844,LRG1,0.004323345,-1.21417551
1836,SLC26A2,1.18E-06,-1.211932554
7538,ZFP36,0.001127939,-1.211823483
3017,H2BC5,5.02E-08,-1.209217368
1735,DIO3,3.70E-07,-1.206560999
100129464,LINC01546,7.54E-06,-1.204349518
100874047,LINC00499,0.000139767,-1.197103702
112268295,LOC112268295,1.84E-05,-1.195185705
9046,DOK2,0.001911404,-1.195056541
51267,CLEC1A,2.06E-06,-1.193433698
100506795,LINC01354,2.98E-05,-1.188738135
100381270,ZBED6,0.007990146,-1.187690722
100505495,PCAT19,1.22E-07,-1.186659091
25975,EGFL6,0.000243225,-1.184333703
10863,ADAM28,9.58E-07,-1.18314447
64065,PERP,4.57E-10,-1.181448327
